"","BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","TENURE"
"class","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
"n","8950","8950","8950","8950","8950","8950","8950","8950","8950","8950","8950","8950","8949","8950","8637","8950","8950"
"nmiss","0","0","0","0","0","0","0","0","0","0","0","0","1","0","313","0","0"
"outlier_flag.99%","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE"
"mean","1564.4748276781","0.877270725586592","1003.20483351955","592.437370949721","411.067644692737","978.871112465475","0.490350548379888","0.202457683575419","0.364437341564246","0.135144200335196","3.24882681564246","14.7098324022346","4494.44945036462","1733.1438520248","864.206542305083","0.15371464849162","11.5173184357542"
"median","873.385231","1","361.28","38","89","0","0.5","0.083333","0.166667","0","0","7","3000","856.901546","312.343947","0","12"
"stdev","2081.53187945655","0.236904002684769","2136.63478187289","1659.88791743781","904.338115175382","2097.16387664323","0.401370747369041","0.29833606518472","0.397447779745413","0.200121388147497","6.82464674416583","24.8576491098847","3638.8157254985","2895.06375690457","2372.44660658398","0.292499196233879","1.33833076936733"
"min","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0.019163","0","6"
"q1.25%","128.2819155","0.888889","39.635","0","0","0","0.083333","0","0","0","0","1","1600","383.276166","169.123707","0","12"
"q2.50%","873.385231","1","361.28","38","89","0","0.5","0.083333","0.166667","0","0","7","3000","856.901546","312.343947","0","12"
"q3.75%","2054.1400355","1","1110.13","577.405","468.6375","1113.82113925","0.916667","0.3","0.75","0.222222","4","17","6500","1901.13431675","825.485459","0.142857","12"
"p99.99%","9338.804814","1","8977.29000000001","6689.89820000001","3886.2405","9588.1633568","1","1","1","0.833333","29","116.51","17000","13608.7155406","9034.09873695978","1","12"
"max","19043.13856","1","49039.57","40761.25","22500","47137.21176","1","1","1","1.5","123","358","30000","50721.48336","76406.20752","1","12"
"UC","7809.07046604776","1.5879827336409","7413.10917913822","5572.10112326315","3124.08199021888","7270.36274239518","1.69446279048701","1.09746587912958","1.55678068080049","0.735508364777686","23.72276704814","89.2827797318889","15410.8966268601","10418.3351227385","7981.54636205701","1.03121223719326","15.5323107438562"
"LC","-4680.12081069156","0.166558717532287","-5406.69951209911","-4387.22638136371","-2301.94670083341","-5312.62051746423","-0.713761693727235","-0.692550511978739","-0.827905997671993","-0.465219964107295","-17.225113416855","-59.8631149274196","-6421.99772613087","-6952.04741868892","-6253.13327744684","-0.723782940210016","7.5023261276522"
