"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","","","mean","","","","","","","mean","","","","","","",""
"2","","","km_clust_7","","","","","","","km_clust_8","","","","","","",""
"3","","mean","1","2","3","4","5","6","7","1","2","3","4","5","6","7","8"
"4","All","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA","       NA"
"5","PURCHASES"," 823.8630"," 353.5472"," 354.1524"," 891.0551","2.808e+03","3239.2212"," 144.3531","8.351e+02","3002.3564"," 449.7798"," 359.4142","3043.0022"," 827.7802","7.348e+02","2.243e+02","1.925e+02"
"6","CASH_ADVANCE"," 817.1611"," 253.3258","3790.7932"," 546.6350","2.356e+02"," 767.3531"," 772.9609","5.700e+01"," 124.6668","3835.6628"," 185.5519"," 877.2305"," 141.5537","1.296e+03","5.205e+02","2.983e+03"
"7","PURCHASES_FREQUENCY","   0.4904","   0.2744","   0.2387","   0.8533","8.040e-01","   0.8829","   0.1002","8.964e-01","   0.8788","   0.3061","   0.2886","   0.8914","   0.9118","2.192e-01","1.886e-01","1.409e-01"
"8","LIMIT_USAGE","   0.3750","   0.1053","   0.5457","   0.8151","9.467e-02","   0.4517","   0.7459","8.866e-02","   0.1174","   0.6090","   0.1064","   0.5248","   0.2532","5.695e-02","8.040e-01","4.780e-01"
"9","BALANCE","1452.3996"," 370.5137","3851.8633","1988.1063","4.312e+02","3526.2657","1832.8920","2.890e+02"," 586.8556","5074.3514"," 378.4175","3853.0975"," 592.1313","1.853e+02","1.874e+03","1.815e+03"
"10","PAY_MINPAY","   4.6320","   4.5068","   3.2693","   1.4445","2.172e+01","   3.5098","   1.6746","4.689e+00","  16.1409","   1.8531","   3.9995","   2.7409","   3.8848","3.781e+01","1.390e+00","4.393e+00"
"11","ONEOFF_PURCHASES"," 447.9487"," 265.4081"," 204.8684"," 309.3578","1.784e+03","2067.5091"," 122.2068","1.967e+02","1943.3481"," 250.0412"," 262.0979","1855.1130"," 181.2196","4.756e+02","1.602e+02","1.201e+02"
"12","CASH_ADVANCE_AMT","  72.8032","  22.4000"," 339.4862","  48.3816","2.045e+01","  65.3129","  69.3985","5.069e+00","  10.5479"," 339.5960","  16.4352","  74.7587","  12.7472","1.156e+02","4.557e+01","2.726e+02"
"13","PURCHASES_INSTALLMENTS_FREQUENCY","   0.3644","   0.1093","   0.1481","   0.7271","5.333e-01","   0.6709","   0.0295","8.226e-01","   0.5922","   0.2045","   0.1221","   0.6981","   0.8469","1.081e-01","8.932e-02","7.407e-02"
"14","CREDIT_LIMIT","4366.6673","3947.6884","7337.6400","2666.8033","6.140e+03","8260.6452","2595.2982","3.667e+03","6483.6825","8800.3716","3965.1696","7986.4887","3205.9280","4.920e+03","2.432e+03","4.306e+03"
