"","ln_Total_spend","age","lninc","creddebt","lncreddebt","carvalue","longmon","cardmon","region","gender","edcat","reason","card","card2","internet"
"1",5.00702879850214,20,3.43,1.2,377,14.3,6.5,14.25,"1","1","3","9","3","5","0"
"2",4.89114579469077,22,2.71,1.22,379,6.8,8.9,16,"5","0","4","9","2","4","4"
"3",5.88602069464441,67,3.56,0.93,16,18.8,28.4,23,"3","1","2","2","2","4","0"
"4",5.88446379811374,23,3,0.1,331,8.7,6,21,"4","0","3","9","2","3","2"
"5",6.23014674590283,26,3.14,0.21,154,10.6,3.05,17.25,"2","0","3","9","4","1","3"
"6",5.43052913885654,64,4.67,1.06,365,-1,8.1,28.25,"4","0","4","9","2","3","0"
"7",6.8590481113684,52,4.34,0.5,69,25.6,3.8,0,"2","1","2","9","5","2","1"
"8",7.04328784575436,44,4.57,5.95,537,55.5,14.85,14.5,"3","1","3","2","1","3","0"
"9",6.14810498206391,66,2.77,0.1,228,8.6,21.05,15.5,"2","1","2","9","3","2","0"
"10",5.73918179300806,47,4.43,1.77,416,41,3.65,0,"2","0","1","9","5","2","0"
"11",6.69831737472404,59,3.85,1.36,390,28,8.55,19,"4","1","4","9","4","1","3"
"12",5.97490316130876,33,2.94,0.13,204,9.3,3.6,0,"2","1","1","1","3","2","0"
"13",6.596804579591,44,4.29,1.25,381,38.5,6.75,7,"5","0","1","9","4","1","1"
"14",6.88595946661168,58,4.14,1.92,424,-1,12.1,24.5,"3","0","4","9","4","3","0"
"15",5.60983802847966,72,2.83,1.28,383,9.3,13.9,23.25,"2","1","5","9","3","4","0"
"16",5.9817171956531,66,3.14,0.93,16,11.6,36.7575,42,"3","1","2","2","3","4","1"
"17",5.99687488480026,57,4.99,1.8,418,72,4.15,29.25,"1","1","4","9","4","3","3"
"18",7.04328784575436,63,4.99,6.37150000000001,544.05,72,34.8,19.75,"5","0","2","9","3","2","0"
"19",6.37464996252506,28,3.14,0.19,166,-1,3.45,16.5,"5","1","1","9","2","3","0"
"20",4.89114579469077,76,3.09,0.69,37,10.8,7.3,31.75,"1","1","3","9","2","3","1"
"21",6.23902750296294,61,3.56,1.23,380,9.4,11.2,9.5,"3","0","3","9","1","4","1"
"22",5.85004498163445,70,3.33,1.2,377,15.7,14.25,15.25,"2","0","4","9","1","4","3"
"23",5.73224034747269,61,2.56,0.57,57,5.8,8.35,11.5,"4","0","2","9","1","3","3"
"24",6.61214855593421,37,3.37,3.32,479,-1,13.1,10.5,"3","0","1","9","5","4","4"
"25",6.54947905367643,39,4.87,4.69,513,49.2,2.9,24.5,"1","0","2","9","4","3","1"
"26",5.68054796518329,73,4.23,1.16,374,22.8,25.45,10,"4","1","2","9","2","3","2"
"27",6.30749716788459,26,3.18,1.3,385,9.8,5.8,5.5,"5","1","3","9","4","1","4"
"28",5.71867108714995,24,3.37,1.39,392,-1,3.95,0,"2","1","4","9","4","3","0"
"29",5.71046012940944,76,2.56,0.26,136,3.1,36.7575,40.75,"3","1","3","9","2","4","0"
"30",6.17351523388663,36,3.4,0.41,88,13.1,6.7,0,"5","0","4","9","1","2","2"
"31",6.14296170946968,55,4.38,0.1,318,35,12.25,22.25,"3","0","2","9","2","4","0"
"32",5.05618210905223,60,3.93,1.21,378,25.2,36.35,28.5,"2","1","4","9","4","2","4"
"33",6.09613982804611,59,3.4,0.26,134,-1,5.5,30,"1","1","1","9","2","1","0"
"34",6.11888983536322,28,2.83,0.15,189,8.2,7.85,0,"1","0","1","9","3","5","0"
