"","age","ed","employ","income","lninc","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","spoused","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","carvalue","commutetime","tenure","longmon","lnlongmon","longten","lnlongten","tollmon","tollten","equipmon","equipten","cardmon","cardten","wiremon","wireten","hourstv","total_spend","ln_Total_spend"
"1",20,15,0,31,3.43,11.1,1.2,"0.18",2.24,"0.81",-1,3,0,0,0,0,0,0,0,0,14.3,"22.00",5,6.5,1.87,"34.40","3.54",29,161.05,29.5,126.1,14.25,"60.00",0,0,13,149.46,5.00702879850214
"2",22,17,0,15,2.71,18.6,1.22,"0.20",1.57,"0.45",-1,2,6,0,0,0,0,0,0,6,6.8,"29.00",39,8.9,2.19,"330.60","5.80",0,0,54.85,1975,16,"610.00",45.65,1683.55,18,77.54,4.35079393224278
"3",67,14,16,35,3.56,9.9,0.93,"-0.07",2.54,"0.93",13,3,3,2,1,0,0,0,0,0,18.8,"24.00",65,28.4,3.35,"1858.35","7.53",0,0,0,0,23,"1410.00",0,0,21,359.97,5.88602069464441
"4",23,16,0,20,3,5.7,0.02,"-3.78",1.12,"0.11",18,5,0,0,0,0,0,0,0,0,8.7,"38.00",36,6,1.79,"199.45","5.30",0,0,0,0,21,"685.00",0,0,26,359.41,5.88446379811374
"5",26,16,1,23,3.14,1.7,0.21,"-1.54",0.18,"-1.74",13,4,0,0,0,0,0,0,0,0,10.6,"32.00",21,3.05,1.12,"74.10","4.31",16.5,387.7,0,0,17.25,"360.00",19.05,410.8,27,507.83,6.23014674590283
"6",64,17,22,107,4.67,5.6,1.06,"0.06",4.93,"1.60",-1,1,11,1,1,0,0,2,0,7,-1,"23.00",28,8.1,2.09,"264.90","5.58",26.75,726.6,35.5,970.95,28.25,"765.00",0,0,21,228.27,5.43052913885654
"7",52,14,10,77,4.34,1.9,0.5,"-0.69",0.96,"-0.04",-1,1,2,0,2,0,0,0,0,0,25.6,"32.00",15,3.8,1.34,"44.80","3.80",0,0,0,0,0,"0.00",0,0,19,952.46,6.8590481113684
"8",44,16,11,97,4.57,14.4,5.95,"1.78",8.02,"2.08",15,2,10,0,2,0,0,0,0,8,55.5,"31.00",46,14.85,2.7,"612.70","6.42",24,1110.4,0,0,14.5,"630.00",0,0,13,1304.8,7.1738050513068
"9",66,12,15,16,2.77,2.6,0.1,"-2.28",0.31,"-1.16",-1,1,1,1,0,0,0,0,0,0,8.6,"25.00",53,21.05,3.05,"1074.35","6.98",0,0,0,0,15.5,"830.00",0,0,25,467.83,6.14810498206391
"10",47,11,19,84,4.43,4.1,1.77,"0.57",1.67,"0.52",-1,2,1,1,0,0,0,0,0,0,41,"29.00",3,3.65,1.29,"20.05","3.00",0,0,0,0,0,"0.00",0,0,21,310.81,5.73918179300806
"11",59,19,8,47,3.85,8.6,1.36,"0.31",2.68,"0.99",-1,1,7,3,0,0,0,0,0,4,28,"17.00",50,8.55,2.15,"446.55","6.10",0,0,31.2,1568.35,19,"930.00",0,0,26,811.04,6.69831737472404
"12",33,8,4,19,2.94,0.9,0.13,"-2.04",0.04,"-3.20",9,5,6,0,0,0,0,0,0,6,9.3,"28.00",9,3.6,1.28,"37.00","3.61",0,0,0,0,0,"0.00",0,0,27,393.43,5.97490316130876
"13",44,10,12,73,4.29,2.8,1.25,"0.22",0.79,"-0.23",-1,1,1,0,1,0,0,0,0,0,38.5,"25.00",5,6.75,1.91,"29.90","3.40",0,0,0,0,7,"30.00",0,0,21,732.75,6.596804579591
"14",58,18,3,63,4.14,10.5,1.92,"0.65",4.69,"1.55",-1,1,0,0,0,0,0,0,0,0,-1,"16.00",58,12.1,2.49,"680.75","6.52",30.75,1776.7,0,0,24.5,"1415.00",0,0,21,978.44,6.88595946661168
"15",72,20,27,17,2.83,9.8,1.28,"0.24",0.39,"-0.94",17,2,0,0,0,0,0,0,0,0,9.3,"32.00",67,13.9,2.63,"954.05","6.86",0,0,38.55,2580.75,23.25,"1525.00",0,0,24,273.1,5.60983802847966
"16",66,13,31,23,3.14,9.3,0.93,"-0.07",1.2,"0.19",12,2,9,3,0,0,0,0,0,6,11.6,"14.00",72,38.7,3.66,"2854.90","7.96",27,1919,0,0,68.5,"4865.00",43.25,3159.25,22,396.12,5.9817171956531
"17",57,17,24,171,5.14,9.5,1.8,"0.59",14.44,"2.67",16,3,1,0,1,0,0,0,0,0,75.8,"19.00",48,4.15,1.42,"214.85","5.37",28.75,1444.65,43.15,1990.25,29.25,"1315.00",40.2,1840.45,17,402.17,5.99687488480026
"18",63,14,29,424,6.05,10.7,13.11,"2.57",32.26,"3.47",20,2,0,0,0,0,0,0,0,0,88.6,"29.00",70,34.8,3.55,"2540.15","7.84",45.25,3165.45,0,0,19.75,"1325.00",0,0,24,1294.06,7.16553984183751
"19",28,11,4,23,3.14,4.8,0.19,"-1.66",0.91,"-0.09",12,3,10,1,0,0,0,0,0,9,-1,"30.00",34,3.45,1.24,"110.45","4.70",33,1099.65,0,0,16.5,"545.00",0,0,16,586.78,6.37464996252506
"20",78,16,10,22,3.09,15.2,0.69,"-0.37",2.65,"0.98",-1,1,0,0,0,0,0,0,0,0,10.8,"23.00",14,7.3,1.99,"85.60","4.45",0,0,24.85,341.75,31.75,"350.00",0,0,22,8.11,2.09309786812732
"21",61,16,4,35,3.56,10.1,1.23,"0.21",2.3,"0.83",12,2,0,0,0,0,0,0,0,0,9.4,"34.00",53,11.2,2.42,"567.05","6.34",0,0,0,0,9.5,"480.00",0,0,25,512.36,6.23902750296294
"22",70,17,2,28,3.33,9.3,1.2,"0.18",1.41,"0.34",17,2,9,0,0,1,0,0,0,8,15.7,"29.00",59,14.25,2.66,"805.80","6.69",23.5,1366.65,0,0,15.25,"840.00",0,0,21,347.25,5.85004498163445
"23",61,14,18,12,2.48,21.5,0.57,"-0.57",2.01,"0.70",-1,1,0,0,0,0,0,0,0,0,5.8,"25.00",61,8.35,2.12,"476.95","6.17",0,0,29.1,1790.8,11.5,"675.00",0,0,13,308.66,5.73224034747269
"24",37,11,2,29,3.37,15.7,3.32,"1.20",1.23,"0.21",-1,1,0,0,0,0,0,0,0,0,-1,"29.00",39,13.1,2.57,"504.45","6.22",28.5,1028.1,43.5,1663.95,10.5,"380.00",31.5,1199.2,21,744.08,6.61214855593421
"25",39,12,5,130,4.87,11.3,4.69,"1.54",10,"2.30",14,4,5,0,0,0,0,0,0,5,49.2,"32.00",6,1.5,0.41,"11.15","2.41",13.25,93,0,0,24.5,"140.00",0,0,32,698.88,6.54947905367643
"26",73,14,28,69,4.23,14.8,1.16,"0.15",9.05,"2.20",15,2,0,0,0,0,0,0,0,0,22.8,"27.00",62,25.45,3.24,"1565.60","7.36",17.75,1031.4,47.15,2874.15,10,"595.00",53.2,3245.6,22,293.11,5.68054796518329
"27",26,16,0,24,3.18,11.7,1.3,"0.26",1.51,"0.41",17,6,1,0,1,0,0,0,0,0,9.8,"27.00",26,5.8,1.76,"149.40","5.01",0,0,27.05,728.55,5.5,"145.00",0,0,17,548.67,6.30749716788459
"28",24,17,1,29,3.37,14,1.39,"0.33",2.67,"0.98",-1,1,12,0,1,0,0,0,0,11,-1,"14.00",11,3.95,1.37,"42.40","3.75",0,0,19.65,172.75,0,"0.00",0,0,13,304.5,5.71867108714995
"29",77,15,26,11,2.4,10.2,0.26,"-1.36",0.87,"-0.14",-1,1,2,0,2,0,0,0,0,0,3.1,"21.00",72,89.45,4.49,"6495.70","8.78",75.5,5310.55,0,0,40.75,"2865.00",0,0,23,302.01,5.71046012940944
"30",36,19,3,30,3.4,15.5,0.41,"-0.88",4.24,"1.44",-1,1,7,0,0,0,0,0,0,7,13.1,"24.00",37,6.7,1.9,"233.85","5.45",0,0,0,0,0,"0.00",0,0,15,479.87,6.17351523388663
"31",55,14,23,80,4.38,6.5,0.03,"-3.47",5.17,"1.64",-1,1,9,2,0,0,0,0,0,7,35,"25.00",47,12.25,2.51,"524.40","6.26",0,0,0,0,22.25,"1000.00",0,0,25,465.43,6.14296170946968
"32",60,18,13,51,3.93,7.8,1.21,"0.19",2.77,"1.02",13,2,2,2,0,0,0,0,0,0,25.2,"26.00",71,36.35,3.59,"2586.85","7.86",51.25,3624.85,55.15,4064.25,28.5,"2090.00",55.8,3819.5,20,156.99,5.05618210905223
"33",59,8,4,30,3.4,2.8,0.26,"-1.34",0.58,"-0.55",10,4,1,0,1,0,0,0,0,0,-1,"15.00",3,5.5,1.7,"19.35","2.96",19.75,52.6,0,0,30,"45.00",0,0,29,444.14,6.09613982804611
"34",28,11,1,17,2.83,8.2,0.15,"-1.89",1.24,"0.22",14,6,1,1,0,0,0,0,0,0,8.2,"23.00",16,7.85,2.06,"116.30","4.76",0,0,0,0,0,"0.00",0,0,30,454.36,6.11888983536322
"35",53,20,11,141,4.95,9.9,9.59,"2.26",4.37,"1.47",17,3,1,0,1,0,0,0,0,0,-1,"23.00",36,3.4,1.22,"122.00","4.80",29,1042.4,49.25,1693.6,22.25,"790.00",61.25,2209.2,10,644.67,6.46873855796258
"36",36,12,5,45,3.81,8.3,0.89,"-0.12",2.85,"1.05",-1,2,3,0,0,3,0,0,0,0,21.2,"26.00",38,6.75,1.91,"244.70","5.50",0,0,27.4,1123.6,0,"0.00",0,0,29,766.85,6.64229121509679
"37",47,20,17,137,4.92,13.7,3.3,"1.19",15.47,"2.74",19,2,2,2,0,0,0,0,0,0,78.1,"21.00",69,22.05,3.09,"1473.30","7.30",0,0,44.85,2973,28.25,"1885.00",36.45,2475.25,22,974.35,6.88177058201014
"38",75,11,2,10,2.3,2.4,0.04,"-3.25",0.2,"-1.60",-1,1,1,1,0,0,0,0,0,0,4.9,"24.00",46,19.8,2.99,"884.75","6.79",24.75,1058,0,0,14,"640.00",0,0,21,262.74,5.57116495004136
"39",49,22,3,73,4.29,9.2,1.44,"0.36",5.28,"1.66",20,5,13,2,0,0,0,0,0,11,33.9,"19.00",31,7,1.95,"238.00","5.47",19.5,598.55,57.25,1740.25,0,"0.00",62.3,1879.25,22,99.61,4.60126256115707
"40",59,13,15,63,4.14,6,0.59,"-0.52",3.19,"1.16",-1,1,0,0,0,0,0,0,0,0,36.2,"16.00",41,13,2.56,"479.00","6.17",19.25,775.6,0,0,9,"330.00",19.35,764.35,13,439.06,6.08463607799578
