"","columns","overall"
"18","card4",26.4793859653213
"16","card2",23.9000227072355
"17","card3",23.0060038948908
"2","lninc",18.0944151371148
"20","card22",17.7982588673829
"22","card24",16.6121789248664
"21","card23",16.0774030338669
"19","card5",10.3463701029012
"12","reason2",9.1160069970576
"23","card25",7.31388366683217
"15","reason9",4.95942011403939
"1","age",4.41836177280482
"7","gender1",3.90400353102272
"5","longmon",3.68203025526618
"6","cardmon",3.37317825955216
"11","edcat5",2.27278988507345
"4","carvalue",1.98570321339813
"3","creddebt",1.64787582574324
"10","edcat4",1.33264795382136
"8","edcat2",0.715431098999784
"14","reason4",0.545757392907529
"13","reason3",0.451645640430866
"9","edcat3",0.402636972525482
