"","decile","Min_prob","Max_prob","Bad_cnt","Good_cnt"
"1",10,0.608940988334956,0.794413231900436,1895,1104
"2",9,0.57189297053226,0.608932472140713,1772,1227
"3",8,0.545937322658418,0.571890113215308,1670,1329
"4",7,0.522366800435123,0.545913712585543,1640,1359
"5",6,0.500286773105543,0.522365426439262,1604,1395
"6",5,0.479161666398478,0.500284628190222,1513,1485
"7",4,0.456473098050796,0.479161321107757,1382,1617
"8",3,0.42910778081772,0.456469834085747,1264,1735
"9",2,0.387767227082049,0.429085456835809,1188,1811
"10",1,0.167896786537662,0.387743262208068,1040,1959
